treatment_sample_ID,pert_id,expected_control,status,unmatched_reason,matched_control_count,matched_control_sample_IDs,match_data_source,match_Strains,match_Medium,match_Temperature,match_pert_time,match_pert_time_unit,match_instrument,match_Yeast_cell_plate
B71,#6,DMSO,matched,,1,B48,WAYB,DHY210,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B76,#15,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,CGD,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B77,#7,Water,matched,,1,B5,WAYB,BAH,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B78,#15,Water,matched,,1,B5,WAYB,BAH,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B81,#7,Water,matched,,1,B9,WAYB,CEK,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B83,#7,Water,matched,,1,B11,WAYB,DHY210,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B84,#15,Water,matched,,1,B11,WAYB,DHY210,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B88,#16,DMSO,matched,,1,B40,WAYB,CGD,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B90,#16,DMSO,matched,,1,B42,WAYB,BAH,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B94,#16,DMSO,matched,,1,B46,WAYB,CEK,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B96,#16,DMSO,matched,,1,B48,WAYB,DHY210,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B303,#2,DMSO,matched,,1,B328,WAYB,CGD,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B305,#2,DMSO,matched,,1,B330,WAYB,BAH,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B309,#2,DMSO,matched,,1,B334,WAYB,CEK,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B310,#10,DMSO,matched,,1,B334,WAYB,CEK,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B312,#10,DMSO,matched,,1,B336,WAYB,DHY210,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B339,#5,Water,matched,,1,B291,WAYB,CGD,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B340,#13,Water,matched,,1,B291,WAYB,CGD,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B341,#5,Water,matched,,1,B293,WAYB,BAH,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B342,#13,Water,matched,,1,B293,WAYB,BAH,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B345,#5,Water,matched,,1,B297,WAYB,CEK,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B346,#13,Water,matched,,1,B297,WAYB,CEK,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B347,#5,Water,matched,,1,B299,WAYB,DHY210,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B348,#13,Water,matched,,1,B299,WAYB,DHY210,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B351,#6,DMSO,matched,,1,B328,WAYB,CGD,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B353,#6,DMSO,matched,,1,B330,WAYB,BAH,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B357,#6,DMSO,matched,,1,B334,WAYB,CEK,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B359,#6,DMSO,matched,,1,B336,WAYB,DHY210,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B363,#7,Water,matched,,1,B291,WAYB,CGD,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B364,#15,Water,matched,,1,B291,WAYB,CGD,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B365,#7,Water,matched,,1,B293,WAYB,BAH,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B366,#15,Water,matched,,1,B293,WAYB,BAH,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B369,#7,Water,matched,,1,B297,WAYB,CEK,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B370,#15,Water,matched,,1,B297,WAYB,CEK,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B371,#7,Water,matched,,1,B299,WAYB,DHY210,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B372,#15,Water,matched,,1,B299,WAYB,DHY210,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B376,#16,DMSO,matched,,1,B328,WAYB,CGD,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B378,#16,DMSO,matched,,1,B330,WAYB,BAH,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B382,#16,DMSO,matched,,1,B334,WAYB,CEK,YNB+CSM+2% galactose,37,90,min,O,WAY_BP4
B400,#10,DMSO,matched,,1,B424,WAYB,CGD,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B401,#2,DMSO,matched,,1,B426,WAYB,BAH,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B402,#10,DMSO,matched,,1,B426,WAYB,BAH,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B405,#2,DMSO,matched,,1,B430,WAYB,CEK,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B406,#10,DMSO,matched,,1,B430,WAYB,CEK,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B407,#2,DMSO,matched,,1,B432,WAYB,DHY210,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B408,#10,DMSO,matched,,1,B432,WAYB,DHY210,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B435,#5,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,CGD,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B436,#13,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,CGD,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B437,#5,Water,matched,,1,B389,WAYB,BAH,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B438,#13,Water,matched,,1,B389,WAYB,BAH,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B442,#13,Water,matched,,1,B393,WAYB,CEK,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B443,#5,Water,matched,,1,B395,WAYB,DHY210,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B444,#13,Water,matched,,1,B395,WAYB,DHY210,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B447,#6,DMSO,matched,,1,B424,WAYB,CGD,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B449,#6,DMSO,matched,,1,B426,WAYB,BAH,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B453,#6,DMSO,matched,,1,B430,WAYB,CEK,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B455,#6,DMSO,matched,,1,B432,WAYB,DHY210,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B459,#7,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,CGD,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B460,#15,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,CGD,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B461,#7,Water,matched,,1,B389,WAYB,BAH,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B462,#15,Water,matched,,1,B389,WAYB,BAH,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B465,#7,Water,matched,,1,B393,WAYB,CEK,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B466,#15,Water,matched,,1,B393,WAYB,CEK,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B467,#7,Water,matched,,1,B395,WAYB,DHY210,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B468,#15,Water,matched,,1,B395,WAYB,DHY210,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B474,#16,DMSO,matched,,1,B426,WAYB,BAH,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B478,#16,DMSO,matched,,1,B430,WAYB,CEK,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B480,#16,DMSO,matched,,1,B432,WAYB,DHY210,YNB+CSM+2% galactose,37,120,min,O,WAY_BP5
B495,#2,DMSO,matched,,1,B520,WAYB,CGD,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B496,#10,DMSO,matched,,1,B520,WAYB,CGD,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B497,#2,DMSO,matched,,1,B522,WAYB,BAH,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B498,#10,DMSO,matched,,1,B522,WAYB,BAH,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B501,#2,DMSO,matched,,1,B526,WAYB,CEK,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B502,#10,DMSO,matched,,1,B526,WAYB,CEK,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B503,#2,DMSO,matched,,1,B528,WAYB,DHY210,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B504,#10,DMSO,matched,,1,B528,WAYB,DHY210,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B531,#5,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,CGD,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B532,#13,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,CGD,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B533,#5,Water,matched,,1,B485,WAYB,BAH,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B534,#13,Water,matched,,1,B485,WAYB,BAH,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B537,#5,Water,matched,,1,B489,WAYB,CEK,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B538,#13,Water,matched,,1,B489,WAYB,CEK,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B539,#5,Water,matched,,1,B491,WAYB,DHY210,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B540,#13,Water,matched,,1,B491,WAYB,DHY210,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B545,#6,DMSO,matched,,1,B522,WAYB,BAH,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B549,#6,DMSO,matched,,1,B526,WAYB,CEK,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B551,#6,DMSO,matched,,1,B528,WAYB,DHY210,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B555,#7,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,CGD,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B556,#15,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,CGD,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B557,#7,Water,matched,,1,B485,WAYB,BAH,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B558,#15,Water,matched,,1,B485,WAYB,BAH,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B561,#7,Water,matched,,1,B489,WAYB,CEK,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B562,#15,Water,matched,,1,B489,WAYB,CEK,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B563,#7,Water,matched,,1,B491,WAYB,DHY210,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B564,#15,Water,matched,,1,B491,WAYB,DHY210,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B568,#16,DMSO,matched,,1,B520,WAYB,CGD,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B570,#16,DMSO,matched,,1,B522,WAYB,BAH,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B574,#16,DMSO,matched,,1,B526,WAYB,CEK,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B576,#16,DMSO,matched,,1,B528,WAYB,DHY210,YNB+CSM+2% galactose,37,240,min,CAC,WAY_BP6
B591,#2,DMSO,matched,,1,B616,WAYB,CGD,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B592,#10,DMSO,matched,,1,B616,WAYB,CGD,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B593,#2,DMSO,matched,,1,B618,WAYB,BAH,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B594,#10,DMSO,matched,,1,B618,WAYB,BAH,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B597,#2,DMSO,matched,,1,B622,WAYB,CEK,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B598,#10,DMSO,matched,,1,B622,WAYB,CEK,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B599,#2,DMSO,matched,,1,B624,WAYB,DHY210,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B600,#10,DMSO,matched,,1,B624,WAYB,DHY210,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B627,#5,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,CGD,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B628,#13,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,CGD,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B629,#5,Water,matched,,1,B581,WAYB,BAH,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B630,#13,Water,matched,,1,B581,WAYB,BAH,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B633,#5,Water,matched,,1,B585,WAYB,CEK,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B634,#13,Water,matched,,1,B585,WAYB,CEK,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B635,#5,Water,matched,,1,B587,WAYB,DHY210,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B636,#13,Water,matched,,1,B587,WAYB,DHY210,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B639,#6,DMSO,matched,,1,B616,WAYB,CGD,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B641,#6,DMSO,matched,,1,B618,WAYB,BAH,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B645,#6,DMSO,matched,,1,B622,WAYB,CEK,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B647,#6,DMSO,matched,,1,B624,WAYB,DHY210,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B651,#7,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,CGD,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B652,#15,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,CGD,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B653,#7,Water,matched,,1,B581,WAYB,BAH,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B654,#15,Water,matched,,1,B581,WAYB,BAH,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B657,#7,Water,matched,,1,B585,WAYB,CEK,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B658,#15,Water,matched,,1,B585,WAYB,CEK,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B659,#7,Water,matched,,1,B587,WAYB,DHY210,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B664,#16,DMSO,matched,,1,B616,WAYB,CGD,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B666,#16,DMSO,matched,,1,B618,WAYB,BAH,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B670,#16,DMSO,matched,,1,B622,WAYB,CEK,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B672,#16,DMSO,matched,,1,B624,WAYB,DHY210,YNB+CSM+2% glucose,30,15,min,O,WAY_BP7
B687,#2,DMSO,matched,,1,B712,WAYB,CGD,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B688,#10,DMSO,matched,,1,B712,WAYB,CGD,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B689,#2,DMSO,matched,,1,B714,WAYB,BAH,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B690,#10,DMSO,matched,,1,B714,WAYB,BAH,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B693,#2,DMSO,matched,,1,B718,WAYB,CEK,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B694,#10,DMSO,matched,,1,B718,WAYB,CEK,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B695,#2,DMSO,matched,,1,B720,WAYB,DHY210,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B696,#10,DMSO,matched,,1,B720,WAYB,DHY210,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B723,#5,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,CGD,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B724,#13,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,CGD,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B725,#5,Water,matched,,1,B677,WAYB,BAH,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B726,#13,Water,matched,,1,B677,WAYB,BAH,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B729,#5,Water,matched,,1,B681,WAYB,CEK,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B730,#13,Water,matched,,1,B681,WAYB,CEK,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B732,#13,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,DHY210,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B737,#6,DMSO,matched,,1,B714,WAYB,BAH,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B741,#6,DMSO,matched,,1,B718,WAYB,CEK,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B743,#6,DMSO,matched,,1,B720,WAYB,DHY210,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B747,#7,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,CGD,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B748,#15,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,CGD,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B749,#7,Water,matched,,1,B677,WAYB,BAH,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B750,#15,Water,matched,,1,B677,WAYB,BAH,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B753,#7,Water,matched,,1,B681,WAYB,CEK,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B754,#15,Water,matched,,1,B681,WAYB,CEK,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B755,#7,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,DHY210,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B756,#15,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,DHY210,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B760,#16,DMSO,matched,,1,B712,WAYB,CGD,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B762,#16,DMSO,matched,,1,B714,WAYB,BAH,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B766,#16,DMSO,matched,,1,B718,WAYB,CEK,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B768,#16,DMSO,matched,,1,B720,WAYB,DHY210,YNB+CSM+2% glucose,30,30,min,CAA,WAY_BP8
B783,#2,DMSO,matched,,1,B808,WAYB,CGD,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B784,#10,DMSO,matched,,1,B808,WAYB,CGD,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B785,#2,DMSO,matched,,1,B810,WAYB,BAH,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B786,#10,DMSO,matched,,1,B810,WAYB,BAH,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B789,#2,DMSO,matched,,1,B814,WAYB,CEK,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B790,#10,DMSO,matched,,1,B814,WAYB,CEK,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B791,#2,DMSO,matched,,1,B816,WAYB,DHY210,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B792,#10,DMSO,matched,,1,B816,WAYB,DHY210,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B819,#5,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,CGD,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B821,#5,Water,matched,,1,B773,WAYB,BAH,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B822,#13,Water,matched,,1,B773,WAYB,BAH,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B825,#5,Water,matched,,1,B777,WAYB,CEK,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B826,#13,Water,matched,,1,B777,WAYB,CEK,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B827,#5,Water,matched,,1,B779,WAYB,DHY210,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B828,#13,Water,matched,,1,B779,WAYB,DHY210,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B831,#6,DMSO,matched,,1,B808,WAYB,CGD,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B833,#6,DMSO,matched,,1,B810,WAYB,BAH,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B837,#6,DMSO,matched,,1,B814,WAYB,CEK,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B839,#6,DMSO,matched,,1,B816,WAYB,DHY210,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B843,#7,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,CGD,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B844,#15,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,CGD,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B845,#7,Water,matched,,1,B773,WAYB,BAH,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B846,#15,Water,matched,,1,B773,WAYB,BAH,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B849,#7,Water,matched,,1,B777,WAYB,CEK,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B850,#15,Water,matched,,1,B777,WAYB,CEK,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B851,#7,Water,matched,,1,B779,WAYB,DHY210,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B852,#15,Water,matched,,1,B779,WAYB,DHY210,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B856,#16,DMSO,matched,,1,B808,WAYB,CGD,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B858,#16,DMSO,matched,,1,B810,WAYB,BAH,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B862,#16,DMSO,matched,,1,B814,WAYB,CEK,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B864,#16,DMSO,matched,,1,B816,WAYB,DHY210,YNB+CSM+2% glucose,30,60,min,CAC,WAY_BP9
B879,#2,DMSO,matched,,1,B904,WAYB,CGD,YNB+CSM+2% glucose,30,90,min,CAA,WAY_BP10
B880,#10,DMSO,matched,,1,B904,WAYB,CGD,YNB+CSM+2% glucose,30,90,min,CAA,WAY_BP10
B881,#2,DMSO,matched,,1,B906,WAYB,BAH,YNB+CSM+2% glucose,30,90,min,CAA,WAY_BP10
B882,#10,DMSO,matched,,1,B906,WAYB,BAH,YNB+CSM+2% glucose,30,90,min,CAA,WAY_BP10
B885,#2,DMSO,matched,,1,B910,WAYB,CEK,YNB+CSM+2% glucose,30,90,min,CAA,WAY_BP10
B886,#10,DMSO,matched,,1,B910,WAYB,CEK,YNB+CSM+2% glucose,30,90,min,CAA,WAY_BP10
B887,#2,DMSO,matched,,1,B912,WAYB,DHY210,YNB+CSM+2% glucose,30,90,min,CAA,WAY_BP10
B888,#10,DMSO,matched,,1,B912,WAYB,DHY210,YNB+CSM+2% glucose,30,90,min,CAA,WAY_BP10
B915,#5,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,CGD,YNB+CSM+2% glucose,30,90,min,CAA,WAY_BP10
B916,#13,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,CGD,YNB+CSM+2% glucose,30,90,min,CAA,WAY_BP10
B917,#5,Water,matched,,1,B869,WAYB,BAH,YNB+CSM+2% glucose,30,90,min,CAA,WAY_BP10
B918,#13,Water,matched,,1,B869,WAYB,BAH,YNB+CSM+2% glucose,30,90,min,CAA,WAY_BP10
B921,#5,Water,matched,,1,B873,WAYB,CEK,YNB+CSM+2% glucose,30,90,min,CAA,WAY_BP10
B922,#13,Water,matched,,1,B873,WAYB,CEK,YNB+CSM+2% glucose,30,90,min,CAA,WAY_BP10
