chemical_id,raw_name,normalized_name,pert_ids,chemical_roles,seen_splits,first_seen_split,seen_in_train,seen_in_validation,seen_in_test,n_metadata_rows,query_name,used_alias,match_source,candidate_cids,pubchem_cid,pubchem_query_endpoint,query_date,raw_response_sha256,pubchem_smiles_field,canonical_smiles,isomeric_smiles,inchikey,molecular_formula,pubchem_title,mapping_status,mapping_confidence,special_control_type,cas_number,structure_issue,decision_reason,raw_structure_smiles,raw_structure_inchikey,parent_smiles,parent_inchikey,standardization_operations,structure_valid
CHX,CHX,CHX,#6,train,train|val_strain_only|val_time|test_strain_only|test_time,train,True,True,True,404,CHX,cycloheximide,manual_override+pubchem_name_synonym,6197,6197,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/6197/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,fbfc1748cfbb386bfb21964a4b487153d17c908ce3bd58db1ff68f55de4dd691|1574ed1ffb628313705e06c8316bd68300be7362ee0b6df178ee6147057052df|3314bd708a1c184c8bd10d3e0fc706c3d5bbc75f3c9c8ea610e58589c21ba953|e341e96570a6f31f73852e1fe0ad00d5b3fa72f1551c440be78cb0abd5b0e469,ConnectivitySMILES|SMILES,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,YPHMISFOHDHNIV-FSZOTQKASA-N,C15H23NO4,Cycloheximide,confirmed,high,,,stereochemistry|name_not_exact_synonym,Competition abbreviation was expanded to cycloheximide; both alias and returned title support CID 6197.,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,YPHMISFOHDHNIV-FSZOTQKASA-N,C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1,YPHMISFOHDHNIV-FSZOTQKASA-N,Chem.MolFromSmiles(sanitize=True); rdMolStandardize.Cleanup(default parameters); Chem.SanitizeMol; Chem.GetSymmSSSR,True
Cisplatin,Cisplatin,Cisplatin,#5,train,train|val_strain_only|val_time|test_strain_only|test_time,train,True,True,True,425,Cisplatin,manual_authoritative_cid,manual_authoritative_cid+pubchem_properties_synonyms,5460033|5702198,5460033,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/5460033/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,97e1970d86a4b529fd060294248b36d70d20092bdf1c9c790d33c87bf7b80ad6|702de85c38400e52c8b2f26154d147bb76a652d04647396475df115f2cfda143|5f795d513d72c28e6ba5e256067b8e7c70cb0c7373022cca5127b8c9f8e0830d|eb31539d3c2a9284c4462eb0b9d1b5785bc94e0f10bd1fc0dcddaf875af5c706|7166bf346a2b4c1d324486425208634b3c7069597aaaeea25a132eecebe10ac4,ConnectivitySMILES|SMILES,N.N.Cl[Pt]Cl,N.N.Cl[Pt]Cl,LXZZYRPGZAFOLE-UHFFFAOYSA-L,Cl2H6N2Pt,Cisplatin,confirmed,high,,,multiple_candidate_cids|multicomponent_or_salt|name_not_exact_synonym|身份已确认，但当前 Morgan/RDKit 特征体系不适用,"Identity confirmed against the official PubChem Cisplatin record CID 5460033. The intact platinum coordination structure is retained, but the current ordinary-organic Morgan/RDKit feature system is not applicable; explicit zero-feature fallback is used without fragment removal.",N.N.Cl[Pt]Cl,LXZZYRPGZAFOLE-UHFFFAOYSA-L,,,identity confirmed; full PubChem structure retained; RDKit/Morgan feature generation disabled,False
Clomiphene citrate,Clomiphene citrate,Clomiphene citrate,#12,train,train|val_strain_only|val_time|test_strain_only|test_time,train,True,True,True,144,Clomiphene citrate,Clomiphene citrate,manual_override+pubchem_name_synonym,60974,60974,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/60974/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,08a2319ed33195669cbbb803c165e65e21b90ca955c58179f3483243072352b3|bd8088b6907ab0130be31adf3eeb82245d653c16dfed5d3d5fcaf4d81d2662dd|32a7cfd494c1229089eeaaa694630ae66e8449afe3e1892e384fee1d76bb295d,ConnectivitySMILES|SMILES,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,PYTMYKVIJXPNBD-UHFFFAOYSA-N,C32H36ClNO8,Clostilbegit,confirmed,medium,,,multicomponent_or_salt,Exact citrate salt entry selected; citrate removal for model parent is explicitly approved while raw salt is retained.,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,PYTMYKVIJXPNBD-UHFFFAOYSA-N,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1,GKIRPKYJQBWNGO-UHFFFAOYSA-N,Chem.MolFromSmiles(sanitize=True); rdMolStandardize.Cleanup(default parameters); rdMolStandardize.FragmentParent(default parameters; manually approved); Chem.SanitizeMol; Chem.GetSymmSSSR,True
Clotrimazole,Clotrimazole,Clotrimazole,#13,train,train|val_strain_only|val_time|test_strain_only|test_time,train,True,True,True,144,Clotrimazole,Clotrimazole,manual_override+pubchem_name_synonym,2812,2812,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/2812/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,245bed8709d59cf0e30f03c299c64017258ecd37aa1907c20abd0c7d5e6c6ce1|3b176dbc9ff0d6e9a00c515f0e124ba928dd556a74577185d6d23c7bd60d9237|ee2ca9e8ea0e6d5f4f1796c9416f409bdeca81abfe1dc841ab0a6fde65a504d7,ConnectivitySMILES|SMILES,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,VNFPBHJOKIVQEB-UHFFFAOYSA-N,C22H17ClN2,Clotrimazole,confirmed,high,,,,Exact name resolves uniquely and PubChem title agrees.,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,VNFPBHJOKIVQEB-UHFFFAOYSA-N,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,VNFPBHJOKIVQEB-UHFFFAOYSA-N,Chem.MolFromSmiles(sanitize=True); rdMolStandardize.Cleanup(default parameters); Chem.SanitizeMol; Chem.GetSymmSSSR,True
Cyclopiazonic acid,Cyclopiazonic acid,Cyclopiazonic acid,#14,train,train|val_strain_only|val_time|test_strain_only|test_time,train,True,True,True,139,Cyclopiazonic acid,Cyclopiazonic acid,manual_override+pubchem_name_synonym,54682463,54682463,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/54682463/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,9c04ca5e8793e6dc9bc68ab390c65cec232bef13001ea1c1278bc43cad102fcd|a5bb7cff079df4f3969a7b3b1199152644984284de7c92f8c325ee5764b7b660|c89a0bb4a29d4655eb754d2b3fc5e78443df7f07f8ffa0caae9758cca8d28689,ConnectivitySMILES|SMILES,CC(=O)C1=C(C2C3C(CC4=C5C3=CNC5=CC=C4)C(N2C1=O)(C)C)O,CC(=O)C1=C([C@@H]2[C@@H]3[C@@H](CC4=C5C3=CNC5=CC=C4)C(N2C1=O)(C)C)O,SZINUGQCTHLQAZ-DQYPLSBCSA-N,C20H20N2O3,Cyclopiazonic Acid,confirmed,high,,,stereochemistry,Exact name resolves uniquely and PubChem title agrees.,CC(=O)C1=C([C@@H]2[C@@H]3[C@@H](CC4=C5C3=CNC5=CC=C4)C(N2C1=O)(C)C)O,SZINUGQCTHLQAZ-DQYPLSBCSA-N,CC(=O)C1=C(O)[C@@H]2[C@H]3c4c[nH]c5cccc(c45)C[C@H]3C(C)(C)N2C1=O,SZINUGQCTHLQAZ-DQYPLSBCSA-N,Chem.MolFromSmiles(sanitize=True); rdMolStandardize.Cleanup(default parameters); Chem.SanitizeMol; Chem.GetSymmSSSR,True
DMSO,DMSO,DMSO,#12|#2,train,train|val_strain_only|val_time|test_strain_only|test_time,train,True,True,True,569,,,special_control_rule,,,,,,,,,,,,special_control,none,dmso,,special control; model chemistry feature intentionally disabled,Frozen task rule; not encoded as an ordinary perturbation molecule.,,,,,,False
Desipramine hydrochloride,Desipramine hydrochloride,Desipramine hydrochloride,#15,train,train|val_strain_only|val_time|test_strain_only,train,True,True,True,140,Desipramine hydrochloride,Desipramine hydrochloride,manual_override+pubchem_name_synonym,65327,65327,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/65327/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,3e680f2c5d637e31a597d2eac3e7b6fc9984e1a83b1e1e1d35beb41adf1d5f07|cbcc6920b5b5f94190703362bbe2345944c79faefe0284d9179e541d14f3757a|527b9e30ce155d0b73aa3c815a96ec0e737e7de390753ca8873986d59fbde520,ConnectivitySMILES|SMILES,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,XAEWZDYWZHIUCT-UHFFFAOYSA-N,C18H23ClN2,Desipramine Hydrochloride,confirmed,medium,,,multicomponent_or_salt,Exact hydrochloride entry selected; chloride removal for model parent is explicitly approved while raw salt is retained.,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,XAEWZDYWZHIUCT-UHFFFAOYSA-N,CNCCCN1c2ccccc2CCc2ccccc21,HCYAFALTSJYZDH-UHFFFAOYSA-N,Chem.MolFromSmiles(sanitize=True); rdMolStandardize.Cleanup(default parameters); rdMolStandardize.FragmentParent(default parameters; manually approved); Chem.SanitizeMol; Chem.GetSymmSSSR,True
Doxycycline hyclate,Doxycycline hyclate,Doxycycline hyclate,#16,test,test_chem_only|test_both,test_chem_only,False,False,True,143,Doxycycline hyclate,Doxycycline hyclate,manual_override+pubchem_name_synonym,54671203|54685920|54686183|54686898|54705095|54729367|57514051|57515985|131673820,54705095,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/54705095/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,e12fd762da985f3f98656c6cc8cc409beadedff5257ad8c3d8e442bac486718e|803bbd4688cc320a38d6b1519fe6b93e7857193a03fcbec7c8bd5320b87d4f70|5b448a84a70e820f81364070183148aeb2a82edf042f96c3639055c452d6c044|c3759e3d82975a0471ce124fd9cb43100e9244f740519f2bb6360ec1e0017e78|b95436e95bed719ee1b860b38c6bf63db1f80d42adeaa548f50ec09eb4826c3e|b13f40aa908c9210cd81af0e9cbafba9a79750bbb8387bf7d97336d038c68a81|6fb5f7ba9733d8c92ac6fa6f025cf47425000e75ad38a0ab8aa3820b2d97c58a|82491c118c95fce33afdad86d6d519a774cb9373fa4f07c05578c7fa2b968857|8a3ed9d9fbf408b4a9a892054f9667b5101e2754aadbbca233ac34a68aa2b3af|381d6eb91967fe6ec7347a7feef35b0cd6078c89e648278b1981f0fdeed9c1ec|67a2d56574618abfc05ea98a838e120b2795e7c8e33d3dcdfa23eb550a9daace|337636f8adb86653d9c7a18fe4acd4c8c8c0f3c03c1768e981e1a5230edd853d|f586b0a5a3b97258b370c5a615e27b61704cc6f53df64b0d8a5c7cc95b853b52|33cc50666c852c2c9011e4d669dad2b88b5dcd066b38913509e7f8130f09edcb|bf14624e47beb81a2d6f6d4eac4be3498c6512f842d7df9bca3fa2f2a0fe4e92|32f6c5bd7d3da922ce6ec95781fb99ef553a44c8dc29ad62d6d564f71a25a82d|9dc45553cea42f27a7d18807b74754e69dc8e37c44ad3dc1325ba01886898e46|0eb48dd4452797ea3da427c26027eace2e5c817af7e6278ff94cb4819708243e|6ea0b2e161157852297b2bda802eac8d03483a04a0e24a82238594c432f22625,ConnectivitySMILES|SMILES,CCO.CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.O.Cl,CCO.C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.O.Cl,DWBSXBGBGHKWOT-WBYAVNBMSA-N,C24H33ClN2O10,Doxycycline hyclate,confirmed,medium,,,multiple_candidate_cids|multicomponent_or_salt|stereochemistry,Selected the PubChem record titled Doxycycline hyclate among nine synonym-linked candidates; removal of counterion/solvate is explicit and raw structure is retained.,CCO.C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.O.Cl,DWBSXBGBGHKWOT-WBYAVNBMSA-N,C[C@H]1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,SGKRLCUYIXIAHR-AKNGSSGZSA-N,Chem.MolFromSmiles(sanitize=True); rdMolStandardize.Cleanup(default parameters); rdMolStandardize.FragmentParent(default parameters; manually approved); Chem.SanitizeMol; Chem.GetSymmSSSR,True
Dyclonine hydrochloride,Dyclonine hydrochloride,Dyclonine hydrochloride,#17,train,train|val_strain_only|val_time|test_strain_only|test_time,train,True,True,True,105,Dyclonine hydrochloride,Dyclonine hydrochloride,manual_override+pubchem_name_synonym,68304,68304,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/68304/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,521542111caac03fbfad932f3f6a66de8458e2aeeca61518f41bdc2c40fa34b8|17617c07a4ea82562a213422aa5bdb7ad06ac47bfad6a439c031e3d7648276eb|9499597ce53c8d659f0199b3ab6e834ba030acf8522a418f001a6dc0f38b0cdf,ConnectivitySMILES|SMILES,CCCCOC1=CC=C(C=C1)C(=O)CCN2CCCCC2.Cl,CCCCOC1=CC=C(C=C1)C(=O)CCN2CCCCC2.Cl,KNZADIMHVBBPOA-UHFFFAOYSA-N,C18H28ClNO2,Dyclonine Hydrochloride,confirmed,medium,,,multicomponent_or_salt,Exact hydrochloride entry selected; chloride removal for model parent is explicitly approved while raw salt is retained.,CCCCOC1=CC=C(C=C1)C(=O)CCN2CCCCC2.Cl,KNZADIMHVBBPOA-UHFFFAOYSA-N,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1,BZEWSEKUUPWQDQ-UHFFFAOYSA-N,Chem.MolFromSmiles(sanitize=True); rdMolStandardize.Cleanup(default parameters); rdMolStandardize.FragmentParent(default parameters; manually approved); Chem.SanitizeMol; Chem.GetSymmSSSR,True
EDTA,EDTA,EDTA,#16|#2,train,train|val_strain_only|val_time|test_strain_only|test_time,train,True,True,True,850,EDTA,EDTA,manual_override+pubchem_name_synonym,6049,6049,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/6049/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,6df1d5e1fa511c78e5c694b3f6fdbae9548bb20c14baf41fb968e1a098bad2df|e77c81fc33424aefb68fdf25d789a0684897b20f8ee8ef339f87a49c3a0391f6|12fd71e385c94fc3ec0beb1a779a949a32421cd28347795f0df3315005b07935,ConnectivitySMILES|SMILES,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,KCXVZYZYPLLWCC-UHFFFAOYSA-N,C10H16N2O8,Ethylenediaminetetraacetic Acid,confirmed,high,,,,Standard abbreviation resolves uniquely to ethylenediaminetetraacetic acid.,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,KCXVZYZYPLLWCC-UHFFFAOYSA-N,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,KCXVZYZYPLLWCC-UHFFFAOYSA-N,Chem.MolFromSmiles(sanitize=True); rdMolStandardize.Cleanup(default parameters); Chem.SanitizeMol; Chem.GetSymmSSSR,True
Emodin,Emodin,Emodin,#18,train,train|val_strain_only|val_time|test_strain_only|test_time,train,True,True,True,144,Emodin,Emodin,manual_override+pubchem_name_synonym,3220,3220,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/3220/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,48277b63624af4cbec576fe6de184cad7c364bf114aca69160cc3dd6f886c741|6a5b0ff78358d1f35d6453a55b7b5f5d37e92a063f088f0faa26a3fafa6b1950|331a14bc913f869d5e450d9592e44582fbe91106498003de38bbd57de4459de5,ConnectivitySMILES|SMILES,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,RHMXXJGYXNZAPX-UHFFFAOYSA-N,C15H10O5,Emodin,confirmed,high,,,,Exact name resolves uniquely and PubChem title agrees.,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,RHMXXJGYXNZAPX-UHFFFAOYSA-N,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,RHMXXJGYXNZAPX-UHFFFAOYSA-N,Chem.MolFromSmiles(sanitize=True); rdMolStandardize.Cleanup(default parameters); Chem.SanitizeMol; Chem.GetSymmSSSR,True
FCCP,FCCP,FCCP,#11,val,val_chem_only|val_both|test_both,val_chem_only,False,True,True,426,FCCP,FCCP,manual_override+pubchem_name_synonym,3330,3330,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/3330/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,91ae61aa39b91ee1634cbbf6dfa5ca6f2430c1ad1783e6c5ce9250a96963a6d4|91ae61aa39b91ee1634cbbf6dfa5ca6f2430c1ad1783e6c5ce9250a96963a6d4|9cd2d900aeb32acbea143b892bf5f00309fc5403769322d30905361e1b4660e1|a3870a1a2e3251efe17642ec37516e4e15dc17ea36fa6dafbe9633786b044fb3,ConnectivitySMILES|SMILES,C1=CC(=CC=C1NN=C(C#N)C#N)OC(F)(F)F,C1=CC(=CC=C1NN=C(C#N)C#N)OC(F)(F)F,BMZRVOVNUMQTIN-UHFFFAOYSA-N,C10H5F3N4O,Carbonyl cyanide p-trifluoromethoxyphenylhydrazone,confirmed,high,,,,Abbreviation and expanded alias both resolve to CID 3330.,C1=CC(=CC=C1NN=C(C#N)C#N)OC(F)(F)F,BMZRVOVNUMQTIN-UHFFFAOYSA-N,N#CC(C#N)=NNc1ccc(OC(F)(F)F)cc1,BMZRVOVNUMQTIN-UHFFFAOYSA-N,Chem.MolFromSmiles(sanitize=True); rdMolStandardize.Cleanup(default parameters); Chem.SanitizeMol; Chem.GetSymmSSSR,True
Fluconazole,Fluconazole,Fluconazole,#19,test,test_chem_only|test_both,test_chem_only,False,False,True,143,Fluconazole,Fluconazole,manual_override+pubchem_name_synonym,3365,3365,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/3365/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,1e510971cc5249651116216f3b3439c07eecfad6b8a0a06759abe811908a0ba3|e6aa2bbf3c4226d122656471e3074b91a604f1cc31b728af6f951d9c98ac3d09|27c935aa2dfc122d3e4360d206cf0ec0a280551fefa8d85fea08e64e49f9dcc0,ConnectivitySMILES|SMILES,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,RFHAOTPXVQNOHP-UHFFFAOYSA-N,C13H12F2N6O,Fluconazole,confirmed,high,,,,Exact name resolves uniquely and PubChem title agrees.,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,RFHAOTPXVQNOHP-UHFFFAOYSA-N,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,RFHAOTPXVQNOHP-UHFFFAOYSA-N,Chem.MolFromSmiles(sanitize=True); rdMolStandardize.Cleanup(default parameters); Chem.SanitizeMol; Chem.GetSymmSSSR,True
G418,G418,G418,#8,test,test_chem_only|test_both,test_chem_only,False,False,True,425,G418,G418,manual_override+pubchem_name_synonym,123865,123865,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/123865/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,84aa7e70160f8ce9c860663236fb43090448ed28109084f477aed08e94552266|84aa7e70160f8ce9c860663236fb43090448ed28109084f477aed08e94552266|6b8a03b576131d81ed0f13e026189c86fe6363d30d29ef932fb5af7011ece89f|17d8492a3d295469701b3c2f14e842e9080b8423546adaebb8b3238cce3d1d7e,ConnectivitySMILES|SMILES,CC(C1C(C(C(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)O)O)O,C[C@H]([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@](CO3)(C)O)NC)O)N)N)N)O)O)O,BRZYSWJRSDMWLG-DJWUNRQOSA-N,C20H40N4O10,Geneticin,confirmed,high,,,stereochemistry,G418 and geneticin aliases both resolve to CID 123865.,C[C@H]([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@](CO3)(C)O)NC)O)N)N)N)O)O)O,BRZYSWJRSDMWLG-DJWUNRQOSA-N,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)O)[C@@H](O)[C@H](O)[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,BRZYSWJRSDMWLG-DJWUNRQOSA-N,Chem.MolFromSmiles(sanitize=True); rdMolStandardize.Cleanup(default parameters); Chem.SanitizeMol; Chem.GetSymmSSSR,True
Geldanamycin,Geldanamycin,Geldanamycin,#20,train,train|val_strain_only|val_time|test_strain_only|test_time,train,True,True,True,144,Geldanamycin,Geldanamycin,manual_override+pubchem_name_synonym,5288382,5288382,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/5288382/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,945df7b2f41821a6722c5906a2e733a9e8c99bdd29306dbd2b75f8bf5cf5197d|0cd56eb71a11b83d4a4ea6a9d3ce0aa6019394ba20f10aa1d54efb24d4058c66|31792b77ddc2fd4c747e6391d42d7bc62e4d15311b974693191f24ba36ee41e0,ConnectivitySMILES|SMILES,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)C)OC)OC(=O)N)C)C)O)OC,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)/C)OC)OC(=O)N)\C)C)O)OC,QTQAWLPCGQOSGP-KSRBKZBZSA-N,C29H40N2O9,Geldanamycin,confirmed,high,,,stereochemistry,Exact name resolves uniquely and PubChem title agrees.,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)/C)OC)OC(=O)N)\C)C)O)OC,QTQAWLPCGQOSGP-KSRBKZBZSA-N,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,QTQAWLPCGQOSGP-KSRBKZBZSA-N,Chem.MolFromSmiles(sanitize=True); rdMolStandardize.Cleanup(default parameters); Chem.SanitizeMol; Chem.GetSymmSSSR,True
H2O2,H2O2,H2O2,#3,test,test_chem_only|test_both,test_chem_only,False,False,True,402,H2O2,H2O2,manual_override+pubchem_name_synonym,784,784,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/784/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,dd755c56970749a27078525216b57f46f241e4c6108e5af955b808cdf1983f7e|dd755c56970749a27078525216b57f46f241e4c6108e5af955b808cdf1983f7e|07b87ed7a8d9cd180b36969cc81362e23b3652bd5112d12c324f11eeaa1b77a0|6d204c9ddefe82ebd48056496d9c0a058d67353adf3490b8cd5c91760420d49f,ConnectivitySMILES|SMILES,OO,OO,MHAJPDPJQMAIIY-UHFFFAOYSA-N,H2O2,Hydrogen Peroxide,confirmed,high,,,,Formula abbreviation and hydrogen peroxide alias both resolve to CID 784.,OO,MHAJPDPJQMAIIY-UHFFFAOYSA-N,OO,MHAJPDPJQMAIIY-UHFFFAOYSA-N,Chem.MolFromSmiles(sanitize=True); rdMolStandardize.Cleanup(default parameters); Chem.SanitizeMol; Chem.GetSymmSSSR,True
Haloperidol,Haloperidol,Haloperidol,#21,train,train|val_strain_only|val_time|test_strain_only|test_time,train,True,True,True,144,Haloperidol,Haloperidol,manual_override+pubchem_name_synonym,3559,3559,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/3559/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,524c855f80936af178c5f091024976226c8f52c9ac3c69061c3a2ee3391804f9|c895aa6f05443ff39edeaedd558c6e941c5ee5c47cca904a3af04b682018a857|6defe328594f24f3f0ce16832b4fc45d37e14add6ca87e83d5a0be7aef983a1b,ConnectivitySMILES|SMILES,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,LNEPOXFFQSENCJ-UHFFFAOYSA-N,C21H23ClFNO2,Haloperidol,confirmed,high,,,,Exact name resolves uniquely and PubChem title agrees.,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,LNEPOXFFQSENCJ-UHFFFAOYSA-N,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,LNEPOXFFQSENCJ-UHFFFAOYSA-N,Chem.MolFromSmiles(sanitize=True); rdMolStandardize.Cleanup(default parameters); Chem.SanitizeMol; Chem.GetSymmSSSR,True
