raw_name,normalized_name,candidate_cids,selected_cid,review_status,mapping_status,decision_reason,structure_issue,evidence_url,review_date,cas_number,candidate_summaries_json
Cisplatin,Cisplatin,5460033|5702198,5460033,reviewed,confirmed,"Identity confirmed against the official PubChem Cisplatin record CID 5460033. The intact platinum coordination structure is retained, but the current ordinary-organic Morgan/RDKit feature system is not applicable; explicit zero-feature fallback is used without fragment removal.",multiple_candidate_cids|multicomponent_or_salt|name_not_exact_synonym|身份已确认，但当前 Morgan/RDKit 特征体系不适用,https://pubchem.ncbi.nlm.nih.gov/compound/cisplatin,2026-08-13,,"[{""cid"":""5460033"",""connectivity_smiles"":""N.N.Cl[Pt]Cl"",""formula"":""Cl2H6N2Pt"",""isomeric_smiles"":""N.N.Cl[Pt]Cl"",""matched_aliases"":[""manual_authoritative_cid""],""title"":""Cisplatin""},{""cid"":""5702198"",""connectivity_smiles"":""N.N.Cl[Pt]Cl"",""formula"":""Cl2H6N2Pt"",""isomeric_smiles"":""N.N.Cl[Pt]Cl"",""matched_aliases"":[""Cisplatin""],""title"":""azane;dichloroplatinum""}]"
Clomiphene citrate,Clomiphene citrate,60974,60974,reviewed,confirmed,Exact citrate salt entry selected; citrate removal for model parent is explicitly approved while raw salt is retained.,multicomponent_or_salt,https://pubchem.ncbi.nlm.nih.gov/compound/60974,2026-08-13,,"[{""cid"":""60974"",""connectivity_smiles"":""CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O"",""formula"":""C32H36ClNO8"",""isomeric_smiles"":""CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O"",""matched_aliases"":[""Clomiphene citrate""],""title"":""Clostilbegit""}]"
Clotrimazole,Clotrimazole,2812,2812,reviewed,confirmed,Exact name resolves uniquely and PubChem title agrees.,,https://pubchem.ncbi.nlm.nih.gov/compound/2812,2026-08-13,,"[{""cid"":""2812"",""connectivity_smiles"":""C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4"",""formula"":""C22H17ClN2"",""isomeric_smiles"":""C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4"",""matched_aliases"":[""Clotrimazole""],""title"":""Clotrimazole""}]"
Cyclopiazonic acid,Cyclopiazonic acid,54682463,54682463,reviewed,confirmed,Exact name resolves uniquely and PubChem title agrees.,stereochemistry,https://pubchem.ncbi.nlm.nih.gov/compound/54682463,2026-08-13,,"[{""cid"":""54682463"",""connectivity_smiles"":""CC(=O)C1=C(C2C3C(CC4=C5C3=CNC5=CC=C4)C(N2C1=O)(C)C)O"",""formula"":""C20H20N2O3"",""isomeric_smiles"":""CC(=O)C1=C([C@@H]2[C@@H]3[C@@H](CC4=C5C3=CNC5=CC=C4)C(N2C1=O)(C)C)O"",""matched_aliases"":[""Cyclopiazonic acid""],""title"":""Cyclopiazonic Acid""}]"
Desipramine hydrochloride,Desipramine hydrochloride,65327,65327,reviewed,confirmed,Exact hydrochloride entry selected; chloride removal for model parent is explicitly approved while raw salt is retained.,multicomponent_or_salt,https://pubchem.ncbi.nlm.nih.gov/compound/65327,2026-08-13,,"[{""cid"":""65327"",""connectivity_smiles"":""CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl"",""formula"":""C18H23ClN2"",""isomeric_smiles"":""CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl"",""matched_aliases"":[""Desipramine hydrochloride""],""title"":""Desipramine Hydrochloride""}]"
Doxycycline hyclate,Doxycycline hyclate,54671203|54685920|54686183|54686898|54705095|54729367|57514051|57515985|131673820,54705095,reviewed,confirmed,Selected the PubChem record titled Doxycycline hyclate among nine synonym-linked candidates; removal of counterion/solvate is explicit and raw structure is retained.,multiple_candidate_cids|multicomponent_or_salt|stereochemistry,https://pubchem.ncbi.nlm.nih.gov/compound/54705095,2026-08-13,,"[{""cid"":""54671203"",""connectivity_smiles"":""CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O"",""formula"":""C22H24N2O8"",""isomeric_smiles"":""C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O"",""matched_aliases"":[""Doxycycline hyclate""],""title"":""4-(Dimethylamino)-1,5,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-3,4,4a,5,5a,6,12,12a-octahydrotetracene-2-carboximidic acid""},{""cid"":""54685920"",""connectivity_smiles"":""CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl"",""formula"":""C22H25ClN2O8"",""isomeric_smiles"":""C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl"",""matched_aliases"":[""Doxycycline hyclate""],""title"":""Doxycycline Hydrochloride""},{""cid"":""54686183"",""connectivity_smiles"":""CCO.CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.O.Cl.Cl"",""formula"":""C46H58Cl2N4O18"",""isomeric_smiles"":""CCO.C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.O.Cl.Cl"",""matched_aliases"":[""Doxycycline hyclate""],""title"":""Doryx""},{""cid"":""54686898"",""connectivity_smiles"":""CCO.CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl"",""formula"":""C24H31ClN2O9"",""isomeric_smiles"":""CCO.C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl"",""matched_aliases"":[""Doxycycline hyclate""],""title"":""6-Desoxy-5-hydroxytetracycline hydrochloride hemihydrate hemiethanolate""},{""cid"":""54705095"",""connectivity_smiles"":""CCO.CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.O.Cl"",""formula"":""C24H33ClN2O10"",""isomeric_smiles"":""CCO.C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.O.Cl"",""matched_aliases"":[""Doxycycline hyclate""],""title"":""Doxycycline hyclate""},{""cid"":""54729367"",""connectivity_smiles"":""CCO.CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)[NH+](C)C)O.CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)[NH+](C)C)O.O.[Cl-].[Cl-]"",""formula"":""C46H58Cl2N4O18"",""isomeric_smiles"":""CCO.C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)[NH+](C)C)O.C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)[NH+](C)C)O.O.[Cl-].[Cl-]"",""matched_aliases"":[""Doxycycline hyclate""],""title"":""Doxycycline hydrochloride hemiethanolate hemihydrate""},{""cid"":""57514051"",""connectivity_smiles"":""[H+].[H+].CCO.CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.O.[Cl-].[Cl-]"",""formula"":""C46H58Cl2N4O18"",""isomeric_smiles"":""[H+].[H+].CCO.C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.O.[Cl-].[Cl-]"",""matched_aliases"":[""Doxycycline hyclate""],""title"":""bis((4S,4aR,5S,5aR,6R,12aR)-4-(dimethylamino)-1,5,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-4a,5,5a,6-tetrahydro-4H-tetracene-2-carboxamide);ethanol;hydron;dichloride;hydrate""},{""cid"":""57515985"",""connectivity_smiles"":""[H+].CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.O.O.[Cl-]"",""formula"":""C22H29ClN2O10"",""isomeric_smiles"":""[H+].C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.O.O.[Cl-]"",""matched_aliases"":[""Doxycycline hyclate""],""title"":""(4S,4aR,5S,5aR,6R,12aR)-4-(dimethylamino)-1,5,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-4a,5,5a,6-tetrahydro-4H-tetracene-2-carboxamide;hydron;chloride;dihydrate""},{""cid"":""131673820"",""connectivity_smiles"":""CCO.CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl"",""formula"":""C46H55ClN4O17"",""isomeric_smiles"":""CCO.C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl"",""matched_aliases"":[""Doxycycline hyclate""],""title"":""bis((4S,4aR,5S,5aR,6R,12aR)-4-(dimethylamino)-1,5,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-4a,5,5a,6-tetrahydro-4H-tetracene-2-carboxamide);ethanol;hydrochloride""}]"
Dyclonine hydrochloride,Dyclonine hydrochloride,68304,68304,reviewed,confirmed,Exact hydrochloride entry selected; chloride removal for model parent is explicitly approved while raw salt is retained.,multicomponent_or_salt,https://pubchem.ncbi.nlm.nih.gov/compound/68304,2026-08-13,,"[{""cid"":""68304"",""connectivity_smiles"":""CCCCOC1=CC=C(C=C1)C(=O)CCN2CCCCC2.Cl"",""formula"":""C18H28ClNO2"",""isomeric_smiles"":""CCCCOC1=CC=C(C=C1)C(=O)CCN2CCCCC2.Cl"",""matched_aliases"":[""Dyclonine hydrochloride""],""title"":""Dyclonine Hydrochloride""}]"
EDTA,EDTA,6049,6049,reviewed,confirmed,Standard abbreviation resolves uniquely to ethylenediaminetetraacetic acid.,,https://pubchem.ncbi.nlm.nih.gov/compound/6049,2026-08-13,,"[{""cid"":""6049"",""connectivity_smiles"":""C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O"",""formula"":""C10H16N2O8"",""isomeric_smiles"":""C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O"",""matched_aliases"":[""EDTA""],""title"":""Ethylenediaminetetraacetic Acid""}]"
Emodin,Emodin,3220,3220,reviewed,confirmed,Exact name resolves uniquely and PubChem title agrees.,,https://pubchem.ncbi.nlm.nih.gov/compound/3220,2026-08-13,,"[{""cid"":""3220"",""connectivity_smiles"":""CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O"",""formula"":""C15H10O5"",""isomeric_smiles"":""CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O"",""matched_aliases"":[""Emodin""],""title"":""Emodin""}]"
FCCP,FCCP,3330,3330,reviewed,confirmed,Abbreviation and expanded alias both resolve to CID 3330.,,https://pubchem.ncbi.nlm.nih.gov/compound/3330,2026-08-13,,"[{""cid"":""3330"",""connectivity_smiles"":""C1=CC(=CC=C1NN=C(C#N)C#N)OC(F)(F)F"",""formula"":""C10H5F3N4O"",""isomeric_smiles"":""C1=CC(=CC=C1NN=C(C#N)C#N)OC(F)(F)F"",""matched_aliases"":[""FCCP"",""carbonyl cyanide 4-(trifluoromethoxy)phenylhydrazone""],""title"":""Carbonyl cyanide p-trifluoromethoxyphenylhydrazone""}]"
Fluconazole,Fluconazole,3365,3365,reviewed,confirmed,Exact name resolves uniquely and PubChem title agrees.,,https://pubchem.ncbi.nlm.nih.gov/compound/3365,2026-08-13,,"[{""cid"":""3365"",""connectivity_smiles"":""C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O"",""formula"":""C13H12F2N6O"",""isomeric_smiles"":""C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O"",""matched_aliases"":[""Fluconazole""],""title"":""Fluconazole""}]"
G418,G418,123865,123865,reviewed,confirmed,G418 and geneticin aliases both resolve to CID 123865.,stereochemistry,https://pubchem.ncbi.nlm.nih.gov/compound/123865,2026-08-13,,"[{""cid"":""123865"",""connectivity_smiles"":""CC(C1C(C(C(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)O)O)O"",""formula"":""C20H40N4O10"",""isomeric_smiles"":""C[C@H]([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@](CO3)(C)O)NC)O)N)N)N)O)O)O"",""matched_aliases"":[""G418"",""geneticin""],""title"":""Geneticin""}]"
Geldanamycin,Geldanamycin,5288382,5288382,reviewed,confirmed,Exact name resolves uniquely and PubChem title agrees.,stereochemistry,https://pubchem.ncbi.nlm.nih.gov/compound/5288382,2026-08-13,,"[{""cid"":""5288382"",""connectivity_smiles"":""CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)C)OC)OC(=O)N)C)C)O)OC"",""formula"":""C29H40N2O9"",""isomeric_smiles"":""C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\\C=C(\\C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)/C)OC)OC(=O)N)\\C)C)O)OC"",""matched_aliases"":[""Geldanamycin""],""title"":""Geldanamycin""}]"
H2O2,H2O2,784,784,reviewed,confirmed,Formula abbreviation and hydrogen peroxide alias both resolve to CID 784.,,https://pubchem.ncbi.nlm.nih.gov/compound/784,2026-08-13,,"[{""cid"":""784"",""connectivity_smiles"":""OO"",""formula"":""H2O2"",""isomeric_smiles"":""OO"",""matched_aliases"":[""H2O2"",""hydrogen peroxide""],""title"":""Hydrogen Peroxide""}]"
Haloperidol,Haloperidol,3559,3559,reviewed,confirmed,Exact name resolves uniquely and PubChem title agrees.,,https://pubchem.ncbi.nlm.nih.gov/compound/3559,2026-08-13,,"[{""cid"":""3559"",""connectivity_smiles"":""C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F"",""formula"":""C21H23ClFNO2"",""isomeric_smiles"":""C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F"",""matched_aliases"":[""Haloperidol""],""title"":""Haloperidol""}]"
Harmine hydrochloride,Harmine hydrochloride,5359389,5359389,reviewed,confirmed,Exact hydrochloride entry selected; chloride removal for model parent is explicitly approved while raw salt is retained.,multicomponent_or_salt,https://pubchem.ncbi.nlm.nih.gov/compound/5359389,2026-08-13,,"[{""cid"":""5359389"",""connectivity_smiles"":""CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC.Cl"",""formula"":""C13H13ClN2O"",""isomeric_smiles"":""CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC.Cl"",""matched_aliases"":[""Harmine hydrochloride""],""title"":""Harmine Hydrochloride""}]"
Hoechst 33258,Hoechst 33258,2392|31953|182069|448194|135705211,135705211,reviewed,confirmed,Selected the candidate whose PubChem title is exactly Hoechst 33258; salt/hydrate removal is explicit and raw structure is retained.,multiple_candidate_cids|multicomponent_or_salt,https://pubchem.ncbi.nlm.nih.gov/compound/135705211,2026-08-13,,"[{""cid"":""2392"",""connectivity_smiles"":""CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)O"",""formula"":""C25H24N6O"",""isomeric_smiles"":""CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)O"",""matched_aliases"":[""Hoechst 33258""],""title"":""Bisbenzimidazole""},{""cid"":""31953"",""connectivity_smiles"":""CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)O.Cl.Cl.Cl"",""formula"":""C25H27Cl3N6O"",""isomeric_smiles"":""CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)O.Cl.Cl.Cl"",""matched_aliases"":[""Hoechst 33258""],""title"":""Bisbenzimidazole Trihydrochloride""},{""cid"":""182069"",""connectivity_smiles"":""CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)O.Cl"",""formula"":""C25H25ClN6O"",""isomeric_smiles"":""CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)O.Cl"",""matched_aliases"":[""Hoechst 33258""],""title"":""Phenol, p-(5-(5-(4-methyl-1-piperazinyl)-2-benzimidazolyl)-2-benzimidazolyl)-, hydrochloride""},{""cid"":""448194"",""connectivity_smiles"":""C[NH+]1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)O"",""formula"":""C25H25N6O+"",""isomeric_smiles"":""C[NH+]1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)O"",""matched_aliases"":[""Hoechst 33258""],""title"":""4-[6-[6-(4-methylpiperazin-4-ium-1-yl)-1H-benzimidazol-2-yl]-1H-benzimidazol-2-yl]phenol""},{""cid"":""135705211"",""connectivity_smiles"":""CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)O.O.Cl.Cl.Cl"",""formula"":""C25H29Cl3N6O2"",""isomeric_smiles"":""CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)O.O.Cl.Cl.Cl"",""matched_aliases"":[""Hoechst 33258""],""title"":""Hoechst 33258""}]"
